actual, expected
1, 0
2, 0
1, 0
2, 0
1, 0
1, 0
1, 0
2, 0
1, 0
2, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
0, 0
1, 0
2, 0
1, 0
2, 0
1, 0
1, 0
0, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
2, 0
1, 0
2, 0
2, 0
2, 0
1, 0
2, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
2, 0
1, 0
2, 0
2, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
2, 0
3, 70
1, 0
2, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
2, 0
2, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
2, 0
1, 0
2, 0
2, 0
1, 0
2, 0
1, 0
2, 0
1, 0
1, 0
2, 0
2, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
2, 0
1, 0
2, 0
1, 0
2, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
3, 185
2, 0
1, 0
1, 0
2, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
2, 0
1, 0
2, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
182.000000
