actual, expected
1, 0
2, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
2, 0
1, 0
2, 0
1, 0
1, 0
2, 0
0, 0
1, 0
2, 0
1, 0
1, 0
1, 0
0, 0
0, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
0, 0
1, 0
1, 0
2, 0
1, 0
1, 0
0, 0
1, 0
1, 0
1, 0
3, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
2, 0
1, 0
1, 0
2, 0
0, 0
1, 0
1, 0
3, 0
2, 0
1, 0
2, 0
2, 0
1, 0
2, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
3, 237
1, 0
1, 0
1, 0
1, 0
1, 0
3, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
0, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
2, 0
1, 0
2, 0
2, 0
1, 0
1, 0
2, 0
2, 0
1, 0
2, 0
2, 0
2, 0
2, 0
2, 0
1, 0
1, 0
1, 0
1, 0
2, 0
2, 0
1, 0
2, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
0, 0
1, 0
1, 0
2, 0
1, 0
1, 0
2, 0
2, 0
2, 18
0, 0
0, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
2, 0
2, 0
1, 0
1, 0
1, 0
1, 0
1, 0
2, 0
1, 0
1, 0
234.000000
